Rk,Player,Pos,Age,Type,OTm,2017-18 Stats,WS,NTm,Terms,Notes
1,LeBron James\jamesle01,F-G,34-170,UFA,CLE,27.5 Pts 8.6 Reb 9.1 Ast,14,LAL,Signed 4-yr maximum salary contract ($153.31MM),
2,Nikola Jokic\jokicni01,C-F,24-119,UFA,DEN,18.5 Pts 10.7 Reb 6.1 Ast,10.7,DEN,Signed 5-yr maximum salary contract ($147.71MM),
3,Kevin Durant\duranke01,F-G,30-262,UFA,GSW,26.4 Pts 6.8 Reb 5.4 Ast,10.4,GSW,Signed 2-yr $61.5MM contract second year player option,
4,Clint Capela\capelca01,C,25-031,RFA,HOU,13.9 Pts 10.8 Reb 0.9 Ast,10.2,HOU,Signed 5-yr $87.5MM contract,
5,Chris Paul\paulch01,G,34-043,UFA,HOU,18.6 Pts 5.4 Reb 7.9 Ast,10.2,HOU,Signed 4-yr maximum salary contract ($159.73MM),
6,DeAndre Jordan\jordade01,C,30-332,UFA,LAC,12.0 Pts 15.2 Reb 1.5 Ast,9.4,DAL,Signed 1-yr $22.897MM contract,
7,Paul George\georgpa01,F,29-047,UFA,OKC,21.9 Pts 5.7 Reb 3.3 Ast,8.9,OKC,Signed 4-yr maximum salary contract ($136.91MM),
8,Derrick Favors\favorde01,F-C,27-338,UFA,UTA,12.3 Pts 7.2 Reb 1.3 Ast,8,UTA,Signed 2-yr $33.8MM contract second year guaranteed after 7/6/19,
9,Dwight Howard\howardw01,C,33-192,UFA,BRK,16.6 Pts 12.5 Reb 1.3 Ast,6.8,WAS,Signed 2-yr $10.941MM contract second year player option,
10,Julius Randle\randlju01,F-C,24-201,UFA,LAL,16.1 Pts 8.0 Reb 2.6 Ast,6.6,NOP,Signed 2-yr $17.714MM contract second year player option,
11,J.J. Redick\redicjj01,G,34-359,UFA,PHI,17.1 Pts 2.5 Reb 3.0 Ast,6.6,PHI,Signed 1-yr $12.25MM contract,
12,Kyle Anderson\anderky01,F-G,25-271,RFA,SAS,7.9 Pts 5.4 Reb 2.7 Ast,6.2,MEM,Signed 4-yr $37.156MM contract,
13,Will Barton\bartowi01,G,28-163,UFA,DEN,15.7 Pts 5.0 Reb 4.1 Ast,6.2,DEN,Signed 4-yr $53MM contract fourth year player option,
14,Montrezl Harrell\harremo01,F-C,25-143,RFA,LAC,11.0 Pts 4.0 Reb 1.0 Ast,5.5,LAC,Signed 2-yr $12MM contract,
15,Jerami Grant\grantje01,F,25-098,UFA,OKC,8.4 Pts 3.9 Reb 0.7 Ast,5.4,OKC,Signed 3-yr $27.346MM contract third year is player option,
16,Trevor Ariza\arizatr01,F,33-353,UFA,HOU,11.7 Pts 4.4 Reb 1.6 Ast,5.3,PHO,Signed 1-yr $15MM contract,
17,Kentavious Caldwell-Pope\caldwke01,G,26-120,UFA,LAL,13.4 Pts 5.2 Reb 2.2 Ast,5.3,LAL,Signed 1-yr $12MM contract,
18,Anthony Tolliver\tollian01,F-C,34-017,UFA,DET,8.9 Pts 3.1 Reb 1.1 Ast,5.3,MIN,Signed 1-yr $5.75MM contract,
19,Ed Davis\davised01,F,30-013,UFA,POR,5.3 Pts 7.4 Reb 0.5 Ast,5,BRK,Signed 1-yr $4.449MM contract,
20,Dirk Nowitzki\nowitdi01,F,40-364,UFA,DAL,12.0 Pts 5.7 Reb 1.6 Ast,4.8,DAL,Signed 1-yr $5MM contract,
21,Kyle O'Quinn\oquinky01,F-C,29-084,UFA,NYK,7.1 Pts 6.1 Reb 2.1 Ast,4.8,IND,Signed 1-yr $4.449MM contract,
22,DeMarcus Cousins\couside01,C-F,28-309,UFA,NOP,25.2 Pts 12.9 Reb 5.4 Ast,4.7,GSW,Signed 1-yr $5.337MM contract,
23,Jusuf Nurkic\nurkiju01,C,24-299,RFA,POR,14.3 Pts 9.0 Reb 1.8 Ast,4.7,POR,Signed 4-yr $48MM contract $4MM partial guarantee in 4th year,
24,Fred VanVleet\vanvlfr01,G,25-113,UFA,TOR,8.6 Pts 2.4 Reb 3.2 Ast,4.7,TOR,Signed 2-yr $18MM contract,
