Rk,Player,Pos,Age,Type,OTm,2018-19 Stats,WS,NTm,Terms,Notes
1,Kevin Durant\duranke01,F-G,30-313,UFA,GSW,26.0 Pts 6.4 Reb 5.9 Ast,11.5,BRK,Signed a 4-yr $164.4MM contract with GSW as part of sign-and-trade,
2,Nikola Vucevic\vucevni01,C,28-288,UFA,ORL,20.8 Pts 12.0 Reb 3.8 Ast,10.1,ORL,Signed 4-yr $100M contract,
3,Kawhi Leonard\leonaka01,F,28-040,UFA,TOR,26.6 Pts 7.3 Reb 3.3 Ast,9.5,LAC,Signed 3-yr $103.13M contract,
4,Kyrie Irving\irvinky01,G,27-138,UFA,BOS,23.8 Pts 5.0 Reb 6.9 Ast,9.1,BRK,Signed 4-yr $140.7M contract,
5,Jimmy Butler\butleji01,F-G,29-328,UFA,PHI,18.7 Pts 5.3 Reb 4.0 Ast,7.9,MIA,Signed a 4-yr $140.7MM contract with PHI as part of sign-and-trade,
6,Al Horford\horfoal01,C-F,33-066,UFA,BOS,13.6 Pts 6.7 Reb 4.2 Ast,7.5,PHI,Signed 4-yr $109M contract,
7,Kemba Walker\walkeke02,G,29-092,UFA,CHO,25.6 Pts 4.4 Reb 5.9 Ast,7.4,BOS,Signed a 4-yr $140.7MM contract with CHO as part of sign-and-trade,
8,Tobias Harris\harrito02,F,27-024,UFA,PHI,20.0 Pts 7.9 Reb 2.8 Ast,7.1,PHI,Signed 5-yr $180M contract,
9,DeAndre Jordan\jordade01,C,31-018,UFA,NYK,11.0 Pts 13.1 Reb 2.3 Ast,7.1,BRK,Signed 4-yr $39.96M contract,
10,Thaddeus Young\youngth01,F,31-048,UFA,IND,12.6 Pts 6.5 Reb 2.5 Ast,6.9,CHI,Signed 3-yr $43.6M contract,
11,Bojan Bogdanovic\bogdabo02,G-F,30-112,UFA,IND,18.0 Pts 4.1 Reb 2.0 Ast,6.8,UTA,Signed 4-yr $73.1M contract,
14,Brook Lopez\lopezbr01,C,31-129,UFA,MIL,12.5 Pts 4.9 Reb 1.2 Ast,6.7,MIL,Signed 4-yr $52M contract,
15,Malcolm Brogdon\brogdma01,G,26-240,RFA,MIL,15.6 Pts 4.5 Reb 3.2 Ast,6.5,IND,Signed a 4-yr $85MM contract with MIL as part of sign-and-trade,
16,Khris Middleton\middlkh01,F-G,27-361,UFA,MIL,18.3 Pts 6.0 Reb 4.3 Ast,6.1,MIL,Signed 5-yr $177.5M contract,
17,Julius Randle\randlju01,F-C,24-252,UFA,NOP,21.4 Pts 8.7 Reb 3.1 Ast,6.1,NYK,Signed 3-yr $62.1M contract,
18,Kevon Looney\looneke01,F-C,23-183,UFA,GSW,6.3 Pts 5.2 Reb 1.5 Ast,6,GSW,Signed 3-yr $15M contract,
19,Danny Green\greenda02,G-F,32-047,UFA,TOR,10.3 Pts 4.0 Reb 1.6 Ast,5.9,LAL,Signed 2-yr $30M contract,
20,JaVale McGee\mcgeeja01,C,31-201,UFA,LAL,12.0 Pts 7.5 Reb 0.7 Ast,5.9,LAL,Signed 2-yr $8.2M contract,
21,J.J. Redick\redicjj01,G,35-045,UFA,PHI,18.1 Pts 2.4 Reb 2.7 Ast,5.9,NOP,Signed 2-yr $26.5M contract,
22,Al-Farouq Aminu\aminual01,F,28-321,UFA,POR,9.4 Pts 7.5 Reb 1.3 Ast,5.8,ORL,Signed to 3-yr $29M contract,
23,Ed Davis\davised01,F,30-064,UFA,BRK,5.8 Pts 8.6 Reb 0.8 Ast,5.7,UTA,Signed 2-yr $9.77M contract,
24,Thomas Bryant\bryanth01,C,22-008,RFA,WAS,10.5 Pts 6.3 Reb 1.3 Ast,5.6,WAS,Signed 3-yr $25M contract,
25,Enes Kanter\kanteen01,C,27-080,UFA,POR,13.7 Pts 9.8 Reb 1.7 Ast,5.4,BOS,Signed 2-yr $9.74M contract,
26,Jeremy Lamb\lambje01,G-F,27-070,UFA,CHO,15.3 Pts 5.5 Reb 2.2 Ast,5.3,IND,Signed 3-yr $31.5M contract,
27,Klay Thompson\thompkl01,G-F,29-181,UFA,GSW,21.5 Pts 3.8 Reb 2.4 Ast,5.3,GSW,Signed 5-yr $189.9M contract,
28,Taj Gibson\gibsota01,F,34-045,UFA,MIN,10.8 Pts 6.5 Reb 1.2 Ast,5.1,NYK,Signed 2-yr $20M contract,
29,D'Angelo Russell\russeda01,G,23-166,RFA,BRK,21.1 Pts 3.9 Reb 7.0 Ast,5,GSW,Signed 4-yr $117.3M contract with BRK as part of sign-and-trade,
30,Patrick Beverley\beverpa01,G,31-027,UFA,LAC,7.6 Pts 5.0 Reb 3.8 Ast,4.8,LAC,Signed 3-yr $40M contract,
31,Tomáš Satoranský\satorto01,G,27-282,RFA,WAS,8.9 Pts 3.5 Reb 5.0 Ast,4.7,CHI,Signed 3-yr $30M contract with WAS as part of sign-and-trade,
32,Marcus Morris\morrima03,F,29-340,UFA,BOS,13.9 Pts 6.1 Reb 1.5 Ast,4.5,NYK,Signed 1-yr $15M contract,
33,Rudy Gay\gayru01,F,32-356,UFA,SAS,13.7 Pts 6.8 Reb 2.6 Ast,4.4,SAS,Signed 2-yr $32M contract,
34,Richaun Holmes\holmeri01,F-C,25-297,UFA,PHO,8.2 Pts 4.7 Reb 0.9 Ast,4.3,SAC,Signed 2-yr $9.74M contract,
36,Terrence Ross\rosste01,F-G,28-184,UFA,ORL,15.1 Pts 3.5 Reb 1.7 Ast,4.3,ORL,Signed 4-yr $54M contract,
37,Delon Wright\wrighde01,G,27-104,RFA,MEM,8.7 Pts 3.5 Reb 3.3 Ast,4.3,DAL,Signed 3-yr $30.15M contract with MEM as part of sign-and-trade,
38,Jonas Valanciunas\valanjo01,C,27-094,UFA,MEM,15.6 Pts 8.6 Reb 1.4 Ast,4.2,MEM,Signed 3-yr $45M contract,
39,Kentavious Caldwell-Pope\caldwke01,G,26-171,UFA,LAL,11.4 Pts 2.9 Reb 1.3 Ast,4,LAL,Signed 2-yr $16.58M contract,
40,Dewayne Dedmon\dedmode01,C,29-361,UFA,ATL,10.8 Pts 7.5 Reb 1.4 Ast,4,SAC,Signed 3-yr $40M contract,
41,Ryan Arcidiacono\arcidry01,G,25-135,RFA,CHI,6.7 Pts 2.7 Reb 3.3 Ast,3.7,CHI,Signed 3-yr $9M contract,
42,Ricky Rubio\rubiori01,G,28-291,UFA,UTA,12.7 Pts 3.6 Reb 6.1 Ast,3.7,PHO,Signed 3-yr $51M contract,
43,Harrison Barnes\barneha02,F,27-070,UFA,SAC,16.4 Pts 4.7 Reb 1.5 Ast,3.6,SAC,Signed 4-yr $85M contract,
44,Jeff Green\greenje02,F,32-345,UFA,WAS,12.3 Pts 4.0 Reb 1.8 Ast,3.6,UTA,Signed 1-yr $2.56M contract,
45,Cory Joseph\josepco01,G,27-353,UFA,IND,6.5 Pts 3.4 Reb 3.9 Ast,3.5,SAC,Signed 3-yr $37M contract,
46,Maxi Kleber\klebima01,F,27-191,RFA,DAL,6.8 Pts 4.6 Reb 1.0 Ast,3.5,DAL,Signed 4-yr $35.9M contract,
48,Daniel Theis\theisda01,C,27-126,RFA,BOS,5.7 Pts 3.4 Reb 1.0 Ast,3.5,BOS,Signed 2-yr $10M contract,
49,Dorian Finney-Smith\finnedo01,F,26-096,RFA,DAL,7.5 Pts 4.8 Reb 1.2 Ast,3.3,DAL,Signed 3-yr $12M contract,
51,Terry Rozier\roziete01,G,25-144,RFA,BOS,9.0 Pts 3.9 Reb 2.9 Ast,3.2,CHO,Signed a 3-yr $56.7MM contract with BOS as part of sign-and-trade,
52,Noah Vonleh\vonleno01,F,23-349,UFA,NYK,8.4 Pts 7.8 Reb 1.9 Ast,3.2,MIN,Signed 1-yr $2M contract,
53,Ivica Zubac\zubaciv01,C,22-143,RFA,LAC,8.9 Pts 6.1 Reb 1.1 Ast,3.2,LAC,Signed 4-yr $28.51M contract,
54,Reggie Bullock\bullore01,G-F,28-145,UFA,LAL,11.3 Pts 2.7 Reb 2.0 Ast,3.1,NYK,Signed 2-yr $8.2M contract,
55,DeMarre Carroll\carrode01,F,33-012,UFA,BRK,11.1 Pts 5.2 Reb 1.3 Ast,3.1,SAS,Signed a 3-yr $21MM contract with BRK as part of sign-and-trade,
56,Jake Layman\laymaja01,F,25-154,RFA,POR,7.6 Pts 3.1 Reb 0.7 Ast,3.1,MIN,Signed a 3-yr $11.5MM contract with POR as part of sign-and-trade,
